Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,1436
design__instance__area,10281.1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0016322985757142305
power__switching__total,0.001252241083420813
power__leakage__total,1.1563985324869464E-8
power__total,0.002884551417082548
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.010786982723485957
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.010786982723485957
timing__hold__ws__corner:nom_tt_025C_1v80,0.48775018737789627
timing__setup__ws__corner:nom_tt_025C_1v80,5.919806590261856
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.487750
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,5.919806
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.013964330087522214
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.013964330087522214
timing__hold__ws__corner:nom_ss_100C_1v60,0.9800396327426539
timing__setup__ws__corner:nom_ss_100C_1v60,1.6445760774242915
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.980040
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,1.644576
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.008951700745148408
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.008951700745148408
timing__hold__ws__corner:nom_ff_n40C_1v95,0.3137847293037491
timing__setup__ws__corner:nom_ff_n40C_1v95,7.477658703887857
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.313785
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,7.477659
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,0.016918966706519975
clock__skew__worst_setup,0.00746897009825141
timing__hold__ws,0.3118802526734449
timing__setup__ws,1.5500170474750252
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.311880
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.550017
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 154.515 165.235
design__core__bbox,5.52 10.88 148.58 152.32
design__io,107
design__die__area,25531.3
design__core__area,20234.4
design__instance__count__stdcell,1436
design__instance__area__stdcell,10281.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.5081
design__instance__utilization__stdcell,0.5081
design__instance__count__class:inverter,225
design__instance__count__class:sequential_cell,102
design__instance__count__class:multi_input_combinational_cell,720
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1496
design__instance__count__class:tap_cell,270
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,27207.3
design__violations,0
design__instance__count__class:timing_repair_buffer,102
design__instance__count__class:clock_buffer,9
design__instance__count__class:clock_inverter,7
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
route__net,1260
route__net__special,2
route__drc_errors__iter:1,647
route__wirelength__iter:1,31127
route__drc_errors__iter:2,239
route__wirelength__iter:2,30865
route__drc_errors__iter:3,287
route__wirelength__iter:3,30867
route__drc_errors__iter:4,18
route__wirelength__iter:4,30864
route__drc_errors__iter:5,0
route__wirelength__iter:5,30867
route__drc_errors,0
route__wirelength,30867
route__vias,8144
route__vias__singlecut,8144
route__vias__multicut,0
design__disconnected_pin__count,2
design__critical_disconnected_pin__count,0
route__wirelength__max,1181.69
timing__unannotated_net__count__corner:nom_tt_025C_1v80,9
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,9
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,9
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.009140244375637754
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.009140244375637754
timing__hold__ws__corner:min_tt_025C_1v80,0.4852964834017767
timing__setup__ws__corner:min_tt_025C_1v80,5.966261431550474
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.485296
